id,site_id,site_name,event_name,year,description,lat,lon
476,160,Thalawa Rajamaha Viharaya,Royal Patronage,1500 AD,"Kings funded shrine development.",8.0667,80.1833
477,160,Thalawa Rajamaha Viharaya,Conservation,1985 AD,"Temple repaired.",8.0667,80.1833

478,161,Eppawala Ancient Monastery,Founding Period,500 AD,"Monastery located near mineral deposits.",8.1500,80.4333
479,161,Eppawala Ancient Monastery,Buddhist Worship Peak,1000 AD,"Temple gained regional importance.",8.1500,80.4333
480,161,Eppawala Ancient Monastery,Conservation,1995 AD,"Archaeology Dept. protected site.",8.1500,80.4333

481,162,Kashyamana Viharaya,Construction Era,900 AD,"Monastery built on elevated land.",7.7833,80.8000
482,162,Kashyamana Viharaya,Murals Added,1500 AD,"Wall painting tradition continued.",7.7833,80.8000
483,162,Kashyamana Viharaya,Conservation,1980 AD,"Site protected.",7.7833,80.8000

484,163,Panduwasnuwara Ancient Kingdom,Capital Establishment,500 AD,"Capital of Pandukabhaya’s descendants.",7.7833,80.0500
485,163,Panduwasnuwara Ancient Kingdom,Palace Construction,600 AD,"Brick palace foundations laid.",7.7833,80.0500
486,163,Panduwasnuwara Ancient Kingdom,Archaeological Excavation,1970 AD,"Palace ruins excavated.",7.7833,80.0500

487,164,Andiyagala Rock Engravings,Engravings Carved,1000 AD,"Medieval carvings found on rock face.",8.1500,80.3333
488,164,Andiyagala Rock Engravings,Rediscovery,1960 AD,"Engravings rediscovered.",8.1500,80.3333
489,164,Andiyagala Rock Engravings,Protected Area Declared,1990 AD,"Archaeology protection granted.",8.1500,80.3333

490,165,Thammenna Rock Monastery,Founding Period,900 AD,"Meditation retreat in forest.",8.2000,80.4667
491,165,Thammenna Rock Monastery,Chola Conflict Era,1000 AD,"Monastery damaged during invasions.",8.2000,80.4667
492,165,Thammenna Rock Monastery,Conservation,1985 AD,"Site repaired.",8.2000,80.4667

493,166,Kahawa Ancient Shrine,Construction,700 AD,"Coastal shrine.<|vq_lbr_audio_34528|><|vq_lbr_audio_67973|><|vq_lbr_audio_124852|><|vq_l_lbr_audio_27668|><|vq_lbr_audio_54619|><|vq_lbr_audio_68901|><|vq_lbr_audio_90781|><|vq_lbr_audio_9011|><|vq_lbr_audio_83701|><|vq_lbr_audio_78679|><|vq_lbr_audio_13042|><|vq_lbr_audio_47071|><|vq_lbr_audio_92204|><|vq_lbr_audio_66662|><|vq_lbr_audio_125614|><|vq_lbr_audio_111957|><|vq_lbr_audio_113888|><|vq_lbr_audio_38473|><|vq_lbr_audio_78173|><|vq_lbr_audio_54880|><|vq_lbr_audio_123204|><|vq_lbr_audio_90006|> ప్రజ6.3333,80.9000
494,166,Kahawa Ancient Shrine,Coastal Pilgrimage,1200 AD,"Temple used for sea rituals.",6.3333,80.9000
495,166,Kahawa Ancient Shrine,Renovation,1980 AD,"Shrine rebuilt.",6.3333,80.9000

496,167,Gonagolla Vihara,Construction,500 AD,"Cave temple with inscriptions.",7.4000,81.0167
497,167,Gonagolla Vihara,Brahmi Inscriptions,200 AD,"Ancient inscriptions discovered.",7.4000,81.0167
498,167,Gonagolla Vihara,Conservation,1990 AD,"Temple preserved.",7.4000,81.0167

499,168,Ampara Magul Maha Viharaya,Construction by King Kavantissa,200 BC,"Temple linked to legend of Viharamahadevi.",7.3000,81.3833
500,168,Ampara Magul Maha Viharaya,Royal Wedding Legend,200 BC,"Believed to be site of royal marriage.",7.3000,81.3833

501,168,Ampara Magul Maha Viharaya,Conservation Work,1990 AD,"Archaeological restoration conducted.",7.3000,81.3833

502,169,Lahugala Kota Vehera,Construction,100 AD,"Large stupa structure created.",6.8667,81.4500
503,169,Lahugala Kota Vehera,Monastic Settlement,400 AD,"Monks lived in forest caves.",6.8667,81.4500
504,169,Lahugala Kota Vehera,Protected Area Declared,1975 AD,"Conservation initiated.",6.8667,81.4500

505,170,Deegavapi Stupa,Construction by Arahat Mahinda,300 AD,"Sacred site visited by Buddhist monks.",6.7833,81.6167
506,170,Deegavapi Stupa,Royal Endowment,600 AD,"Kings expanded temple complex.",6.7833,81.6167
507,170,Deegavapi Stupa,Reconstruction,1985 AD,"Large-scale repairs performed.",6.7833,81.6167

508,171,Dighavapi Image House,Creation,500 AD,"Ancient image house built near stupa.",6.8000,81.6000
509,171,Dighavapi Image House,Brahmi Script Found,300 AD,"Inscriptions discovered.",6.8000,81.6000
510,171,Dighavapi Image House,Conservation,2000 AD,"Preservation funded by govt.",6.8000,81.6000

511,172,Sangamankanda Lighthouse,Construction,1860 AD,"British built lighthouse on coast.",6.9000,81.5667
512,172,Sangamankanda Lighthouse,War Damage,1990 AD,"Damaged during conflict.",6.9000,81.5667
513,172,Sangamankanda Lighthouse,Restoration,2010 AD,"Lighthouse reconstructed.",6.9000,81.5667

514,173,Komari Ancient Ruins,Construction Period,300 AD,"Monastic structures established.",6.8833,81.8500
515,173,Komari Ancient Ruins,Rediscovery,1975 AD,"Archaeologists identified ruins.",6.8833,81.8500
516,173,Komari Ancient Ruins,Protection,1992 AD,"Area gazetted.",6.8833,81.8500

517,174,Oluvil Lighthouse,Built by Government,1999 AD,"Modern lighthouse creation.",7.3000,81.8667
518,174,Oluvil Lighthouse,Opened to Shipping,1999 AD,"Improved coastal navigation.",7.3000,81.8667
519,174,Oluvil Lighthouse,Improvements,2010 AD,"Lighting system upgraded.",7.3000,81.8667

520,175,Okanda Murugan Temple,Early Shrine Creation,500 AD,"Ancient shrine dedicated to Murugan.",6.7667,81.8000
521,175,Okanda Murugan Temple,Pilgrimage Route Established,900 AD,"Kataragama pilgrims used coastal route.",6.7667,81.8000
522,175,Okanda Murugan Temple,Temple Expansion,1950 AD,"Shrine expanded for pilgrims.",6.7667,81.8000

523,176,Kudumbigala Monastery,Founding Period,246 AD,"Earliest meditation forest monastery.",6.6333,81.7167
524,176,Kudumbigala Monastery,Rock Inscriptions,200 AD,"Ancient Brahmi text found.",6.6333,81.7167
525,176,Kudumbigala Monastery,Reopening,1954 AD,"Reopened by Buddhist monk Jinarathana.",6.6333,81.7167

526,177,Hulannuge Cave Temple,Construction,500 AD,"Ancient cave temple.",7.2167,81.2500
527,177,Hulannuge Cave Temple,Monastic Use,900 AD,"Used by forest monks.",7.2167,81.2500
528,177,Hulannuge Cave Temple,Conservation,1990 AD,"Temple protected.",7.2167,81.2500

529,178,Ampara Samangala Forest Monastery,Construction,200 AD,"Monastic settlement created.",7.3000,81.3500
530,178,Ampara Samangala Forest Monastery,Discoveries,1960 AD,"Multiple caves with art discovered.",7.3000,81.3500
531,178,Ampara Samangala Forest Monastery,Conservation,2005 AD,"Site protected.",7.3000,81.3500

532,179,Dehiattakandiya Ancient Ruins,Settlement Origin,300 AD,"Early village settlement.",7.9000,81.0333
533,179,Dehiattakandiya Ancient Ruins,Artifacts Found,700 AD,"Pottery fragments uncovered.",7.9000,81.0333
534,179,Dehiattakandiya Ancient Ruins,Declared Protected,1990 AD,"Archaeology dept declared protection.",7.9000,81.0333

535,180,Mahiyangana Raja Maha Viharaya,First Buddhist Stupa,543 BC,"Site of Buddha's first visit to Sri Lanka.",7.5000,81.0000
536,180,Mahiyangana Raja Maha Viharaya,Enlarged by Kings,300 AD,"Stupa expanded over centuries.",7.5000,81.0000
537,180,Mahiyangana Raja Maha Viharaya,Annual Festival,1800 AD,"Perahera rituals strengthened.",7.5000,81.0000

538,181,Sorabora Wewa,Construction by Giant Bulatha,100 AD,"Legendary creation of reservoir.",7.7833,81.0667
539,181,Sorabora Wewa,Engineering Development,300 AD,"Unique sluice system applied.",7.7833,81.0667
540,181,Sorabora Wewa,Rehabilitation,2000 AD,"Bund reconstruction carried out.",7.7833,81.0667

541,182,Dematamal Viharaya,Construction,200 AD,"Ancient shrine with Bodhi tree.",6.9333,81.8000
542,182,Dematamal Viharaya,Use in Elara-Dutugemunu War,161 BC,"Refuge for Prince Saddhatissa.",6.9333,81.8000
543,182,Dematamal Viharaya,Conservation,1990 AD,"Temple renovated.",6.9333,81.8000

544,183,Bibile Maligawila Buddha Statue,Creation,600 AD,"Tall limestone Buddha statue carved.",6.8167,81.3333
545,183,Bibile Maligawila Buddha Statue,Rediscovery,1950 AD,"Statue found broken on ground.",6.8167,81.3333
546,183,Bibile Maligawila Buddha Statue,Reconstruction,1991 AD,"Statue raised to standing form.",6.8167,81.3333

547,184,Dematamal Giant’s Tank,Construction,300 AD,"Irrigation tank built in ancient period.",6.9500,81.8333
548,184,Dematamal Giant’s Tank,Chola Era Activity,1000 AD,"Chola engineering influence seen.",6.9500,81.8333
549,184,Dematamal Giant’s Tank,Rehabilitation,1995 AD,"Tank system restored.",6.9500,81.8333

550,185,Badulla Muthiyangana Temple,Construction,300 AD,"Sacred site visited by Buddha.",7.0500,81.0667
551,185,Badulla Muthiyangana Temple,Kandyan Patronage,1700 AD,"Kings renovated shrine buildings.",7.0500,81.0667
552,185,Badulla Muthiyangana Temple,Festival Enhancement,2000 AD,"Temple festival modernised.",7.0500,81.0667

553,186,Rawana Waterfall Caves,Legend of Ravana,5000 BC,"Legend claims Ravana lived here.",6.8500,81.0667
554,186,Rawana Waterfall Caves,Temple Construction,100 AD,"Small shrine added later.",6.8500,81.0667
555,186,Rawana Waterfall Caves,Tourist Development,2005 AD,"Viewing paths created.",6.8500,81.0667

556,187,Dunhinda Waterfall Area,Ancient Settlement,1000 AD,"Village existed near waterfall.",7.0333,81.0667
557,187,Dunhinda Waterfall Area,Rock Tools Found,2000 BC,"Archaeologists found prehistoric tools.",7.0333,81.0667
558,187,Dunhinda Waterfall Area,Nature Conservation,1990 AD,"Area declared nature sanctuary.",7.0333,81.0667

559,188,Bogoda Wooden Bridge,Construction,1600 AD,"Oldest wooden bridge in Sri Lanka.",7.0167,81.0500
560,188,Bogoda Wooden Bridge,Temple Link,1600 AD,"Bridge connected to Bogoda temple.",7.0167,81.0500
561,188,Bogoda Wooden Bridge,Restoration,1990 AD,"Bridge refurbished.",7.0167,81.0500

562,189,Idalgashinna Forest Heritage,Ancient Footpaths,1200 AD,"Used for village connectivity.",6.7833,81.0000
563,189,Idalgashinna Forest Heritage,Trading Route,1500 AD,"Tea traders later used pathway.",6.7833,81.0000
564,189,Idalgashinna Forest Heritage,Declared Natural Heritage,2000 AD,"Forest included in conservation zone.",6.7833,81.0000

565,190,Welimada Ambalama,Construction,1700 AD,"Resting hall built for travellers.",6.9833,80.9000
566,190,Welimada Ambalama,Kandyan Use,1750 AD,"Used by Kandyan nobles.",6.9833,80.9000
567,190,Welimada Ambalama,Renovation,1995 AD,"Ambalama restored.",6.9833,80.9000

568,191,Haputale Ancient Ruins,Monastic Use,700 AD,"Early monastery established.",6.7667,80.9667
569,191,Haputale Ancient Ruins,Artifacts Found,900 AD,"Pottery and stones discovered.",6.7667,80.9667
570,191,Haputale Ancient Ruins,Protection,1980 AD,"Site secured by authorities.",6.7667,80.9667

571,192,Bandarawela Temple Cave Paintings,Creation Period,1500 AD,"Cave murals painted in Kandyan style.",6.8333,80.9833
572,192,Bandarawela Temple Cave Paintings,Mural Restoration,2001 AD,"Paintings restored.",6.8333,80.9833
573,192,Bandarawela Temple Cave Paintings,Declared Protected,1990 AD,"Temple listed as archaeological.",6.8333,80.9833

574,193,Adisham Bungalow (Historic),Construction,1931 AD,"Built by Sir Thomas Villiers.",6.8167,80.9000
575,193,Adisham Bungalow (Historic),Monastery Conversion,1960 AD,"Converted into monastery.",6.8167,80.9000
576,193,Adisham Bungalow (Historic),Tourist Establishment,1990 AD,"Opened to visitors.",6.8167,80.9000

577,194,St. Mark’s Church Badulla,British Construction,1857 AD,"Built during colonial period.",6.9833,81.0667
578,194,St. Mark’s Church Badulla,Railway Officer Memorial,1870 AD,"Memorial for railway workers.",6.9833,81.0667
579,194,St. Mark’s Church Badulla,Renovation,2000 AD,"Church restored.",6.9833,81.0667

580,195,Kataragama Sacred City,Establishment,200 BC,"Multi-religious sacred site.",6.4167,81.3333
581,195,Kataragama Sacred City,Arrival of God Skanda Legend,1000 BC,"Ancient stories of deity arrival.",6.4167,81.3333
582,195,Kataragama Sacred City,Annual Perahera,1600 AD,"Traditional festival held since monarchy.",6.4167,81.3333

583,196,Sella Kataragama Temple,Construction,1400 AD,"Shrine dedicated to God Ganesh.",6.4667,81.3333
584,196,Sella Kataragama Temple,Pilgrimage Route Development,1700 AD,"Pilgrims travelled through jungle.",6.4667,81.3333
585,196,Sella Kataragama Temple,Modern Expansion,1980 AD,"Infrastructure built for pilgrims.",6.4667,81.3333

586,197,Kiri Vehera,Construction by King Mahasena,560 AD,"Large white stupa erected.",6.4240,81.3323
587,197,Kiri Vehera,Royal Patronage,1200 AD,"Kings supported rituals.",6.4240,81.3323
588,197,Kiri Vehera,Restoration,1990 AD,"Restoration works commenced.",6.4240,81.3323

589,198,Yala Sithulpawwa Ancient Monastery,Construction,200 AD,"Sacred monastery in Yala jungle.",6.3667,81.5167
590,198,Yala Sithulpawwa Ancient Monastery,Brahmi Script Discovery,200 AD,"Ancient inscriptions found.",6.3667,81.5167
591,198,Yala Sithulpawwa Ancient Monastery,Conservation Project,2010 AD,"Site rehabilitated.",6.3667,81.5167

592,199,Magama Thissamaharama Kingdom,Establishment,200 AD,"Southern kingdom headquarters.",6.2833,81.2833
593,199,Magama Thissamaharama Kingdom,Buddhist Peak Period,300 AD,"Monastic culture expanded.",6.2833,81.2833
594,199,Magama Thissamaharama Kingdom,Archaeological Excavation,1995 AD,"Palace ruins uncovered.",6.2833,81.2833

595,200,Tissamaharama Stupa,Construction by King Kavantissa,200 AD,"One of largest stupas in south.",6.2798,81.2915
596,200,Tissamaharama Stupa,Ritual Worship,400 AD,"Attracted monks and devotees.",6.2798,81.2915
597,200,Tissamaharama Stupa,Renovation,1990 AD,"Restoration completed.",6.2798,81.2915

598,201,Kataragama Sandagiri Thupa,Construction,200 AD,"Ancient stupa remains.",6.4167,81.3333
599,201,Kataragama Sandagiri Thupa,Monastic Activity,500 AD,"Temple activities flourished.",6.4167,81.3333
600,201,Kataragama Sandagiri Thupa,Archaeological Study,1980 AD,"Scientific excavation done.",6.4167,81.3333

601,202,Dorawaka Cave (Kegalle),Prehistoric Settlement,8000 BC,"Stone tools of prehistoric humans found.",7.2167,80.3333
602,202,Dorawaka Cave (Kegalle),Excavation,1960 AD,"Archaeologists uncovered microlithic tools.",7.2167,80.3333
603,202,Dorawaka Cave (Kegalle),Declared Protected,1970 AD,"Cave listed as protected heritage.",7.2167,80.3333

604,203,Beligala Raja Maha Viharaya,Construction by King Vijayabahu III,1200 AD,"Temporary capital of Dambadeniya Kingdom.",7.3500,80.2833
605,203,Beligala Raja Maha Viharaya,Temple Expansion,1300 AD,"Shrine buildings expanded.",7.3500,80.2833
606,203,Beligala Raja Maha Viharaya,Conservation Work,1995 AD,"Restored by archaeology dept.",7.3500,80.2833

607,204,Asgiri Cave Monastery (Ruwanwella),Brahmi Inscriptions Found,200 AD,"Ancient cave inscriptions discovered.",7.0500,80.3500
608,204,Asgiri Cave Monastery (Ruwanwella),Monastic Settlement,300 AD,"Used as a forest hermitage.",7.0500,80.3500
609,204,Asgiri Cave Monastery (Ruwanwella),Protection Status,1980 AD,"Listed as archaeological site.",7.0500,80.3500

610,205,Kandegedara Ancient Temple,Construction Period,500 AD,"Built during early Anuradhapura era.",7.3833,80.3833
611,205,Kandegedara Ancient Temple,Temple Renovation,1700 AD,"Kandyan kings restored main shrine.",7.3833,80.3833
612,205,Kandegedara Ancient Temple,Conservation,1990 AD,"Site protected under archaeology ordinance.",7.3833,80.3833

613,206,Alawala Cave Complex,Prehistoric Human Activity,7000 BC,"Prehistoric human remains discovered.",7.2500,80.3500
614,206,Alawala Cave Complex,Scientific Excavation,1980 AD,"Cave examined by archaeologists.",7.2500,80.3500
615,206,Alawala Cave Complex,Declared Protected,1998 AD,"Added to heritage registry.",7.2500,80.3500

616,207,Kitulgala Belilena Cave,Settlement of Balangoda Man,30000 BC,"Famous prehistoric settlement.",6.9833,80.4167
617,207,Kitulgala Belilena Cave,Excavations,1980 AD,"Human skeletal remains found.",6.9833,80.4167
618,207,Kitulgala Belilena Cave,Heritage Protection,2000 AD,"Cave secured for conservation.",6.9833,80.4167

619,208,Uthuwankanda Cave (Sura Saradiel),Bandit Stronghold,1860 AD,"Hideout of Sri Lanka’s Robin Hood.",7.2500,80.3333
620,208,Uthuwankanda Cave (Sura Saradiel),British Encounter,1862 AD,"British forces attacked hideout.",7.2500,80.3333
621,208,Uthuwankanda Cave (Sura Saradiel),Memorial Establishment,2004 AD,"Museum built in honor of Saradiel.",7.2500,80.3333

622,209,Arandara Ancient Temple,Construction,700 AD,"Temple built in intermediate period.",7.2000,80.2000
623,209,Arandara Ancient Temple,Monastic Use,900 AD,"Residence for monks.",7.2000,80.2000
624,209,Arandara Ancient Temple,Restoration,1990 AD,"Restoration completed by archaeology dept.",7.2000,80.2000

625,210,Arandara Ambalama,Construction,1700 AD,"Rest stop created for travelers.",7.2000,80.2000
626,210,Arandara Ambalama,Used During Kandyan Era,1750 AD,"Shelter for nobles and merchants.",7.2000,80.2000
627,210,Arandara Ambalama,Conservation,2005 AD,"Ambalama strengthened structurally.",7.2000,80.2000

628,211,Wewaladeniya Ambalama,Construction,1600 AD,"Historic ambalama built in hill country.",7.2500,80.1500
629,211,Wewaladeniya Ambalama,Travelers’ Shelter,1700 AD,"Used by pilgrims and traders.",7.2500,80.1500
630,211,Wewaladeniya Ambalama,Declared Protected,1992 AD,"Architectural site listed.",7.2500,80.1500

631,212,Rambukkana Ancient Bo Tree,Planting,300 AD,"One of oldest Bo trees in region.",7.3000,80.3833
632,212,Rambukkana Ancient Bo Tree,Worship Tradition,600 AD,"Locals worshipped tree for blessings.",7.3000,80.3833
633,212,Rambukkana Ancient Bo Tree,Sacred Protection,1985 AD,"Bo tree included in heritage registry.",7.3000,80.3833

634,213,Kegalle Dedigama Kota Vehera,Construction by King Parakramabahu II,1230 AD,"Massive stupa housing royal artifacts.",7.2333,80.3167
635,213,Kegalle Dedigama Kota Vehera,Excavation Discoveries,1950 AD,"Artifacts including royal regalia found.",7.2333,80.3167
636,213,Kegalle Dedigama Kota Vehera,Restoration,1970 AD,"Monument reconstructed.",7.2333,80.3167

637,214,Dedigama Museum,Establishment,1980 AD,"Museum created to store royal artifacts.",7.2333,80.3167
638,214,Dedigama Museum,Artifact Display Update,2000 AD,"Exhibits expanded with new findings.",7.2333,80.3167
639,214,Dedigama Museum,Visitor Development,2010 AD,"New facilities added for tourists.",7.2333,80.3167

640,215,Narangala Ancient Settlement,First Settlement,1200 AD,"Early village settlement at high elevation.",7.0833,80.9667
641,215,Narangala Ancient Settlement,Archaeological Findings,2005 AD,"Tools and pottery excavated.",7.0833,80.9667
642,215,Narangala Ancient Settlement,Protected Status,2015 AD,"Area declared protected.",7.0833,80.9667

643,216,Mawanella Aluthnuwara Devalaya,Construction,1300 AD,"Shrine dedicated to deity Aluthnuwara Deviyo.",7.2833,80.4500
644,216,Mawanella Aluthnuwara Devalaya,Kandyan Patronage,1600 AD,"Kings expanded shrine structures.",7.2833,80.4500
645,216,Mawanella Aluthnuwara Devalaya,Restoration,1980 AD,"Temple renovated.",7.2833,80.4500

646,217,Sitawaka Rajasinghe Palace Ruins,Construction,1550 AD,"Palace of King Rajasinghe I.",6.9500,80.0833
647,217,Sitawaka Rajasinghe Palace Ruins,Destruction,1593 AD,"Ruins after war with Portuguese.",6.9500,80.0833
648,217,Sitawaka Rajasinghe Palace Ruins,Archaeological Work,1950 AD,"Excavation revealed palace layout.",6.9500,80.0833

649,218,Ranwala Ancient Temple,Construction,500 AD,"One of oldest temples in Kegalle region.",7.2667,80.3333
650,218,Ranwala Ancient Temple,Monastic Learning,900 AD,"Became a regional learning center.",7.2667,80.3333
651,218,Ranwala Ancient Temple,Declared Protected,1999 AD,"Temple added to heritage registry.",7.2667,80.3333

652,219,Galapitamada Ambalama,Construction,1600 AD,"Ancient ambalama for travelers.",7.2333,80.3167
653,219,Galapitamada Ambalama,Use in Kandyan Era,1700 AD,"Rest stop for traders.",7.2333,80.3167
654,219,Galapitamada Ambalama,Conservation,2000 AD,"Ambalama restored.",7.2333,80.3167

655,220,Asupini Ella Sacred Site,Legend Origin,1500 AD,"Legend of princess’s tragic leap.",7.1833,80.5333
656,220,Asupini Ella Sacred Site,Temple Construction,1700 AD,"Shrine developed near falls.",7.1833,80.5333
657,220,Asupini Ella Sacred Site,Declared Nature Heritage,1995 AD,"Waterfall protected.",7.1833,80.5333

658,221,Kosgama Ancient Temple,Construction,700 AD,"Ancient Buddhist temple.",6.9500,80.0833
659,221,Kosgama Ancient Temple,Chola Influence,1000 AD,"Stone carvings show South Indian links.",6.9500,80.0833
660,221,Kosgama Ancient Temple,Renovation,1990 AD,"Preservation carried out.",6.9500,80.0833

661,222,Hanwella Fort,Portuguese Construction,1597 AD,"Fort built beside Kelani River.",6.9000,80.0667
662,222,Hanwella Fort,Dutch Reconstruction,1685 AD,"Rebuilt with stronger defenses.",6.9000,80.0667
663,222,Hanwella Fort,British Occupation,1800 AD,"Used as military post.",6.9000,80.0667

664,223,Kosgama Rajamaha Vihara,Construction,600 AD,"Old Buddhist temple.",6.9333,80.1500
665,223,Kosgama Rajamaha Vihara,Kandyan Renovation,1750 AD,"Kandyan kings developed temple.",6.9333,80.1500
666,223,Kosgama Rajamaha Vihara,Conservation,2000 AD,"Restoration projects executed.",6.9333,80.1500

667,224,Avissawella Barandi Kovila,Construction,1700 AD,"Shrine dedicated to local deity.",6.9500,80.2000
668,224,Avissawella Barandi Kovila,Expansion,1850 AD,"Shrine expanded with hall.",6.9500,80.2000
669,224,Avissawella Barandi Kovila,Declared Protected,1998 AD,"Added to archaeology list.",6.9500,80.2000

670,225,Waga Kande Viharaya,Construction,1500 AD,"Temple built on rock plateau.",6.8667,80.0667
671,225,Waga Kande Viharaya,Painting Creation,1700 AD,"Murals drawn inside shrine.",6.8667,80.0667
672,225,Waga Kande Viharaya,Renovation,1990 AD,"Temple restored.",6.8667,80.0667

673,226,Padukka Galpoththa Ancient Stone,Carving Period,1100 AD,"Inscription showing ancient boundaries.",6.8333,80.0833
674,226,Padukka Galpoththa Ancient Stone,Rediscovery,1950 AD,"Stone found during road work.",6.8333,80.0833
675,226,Padukka Galpoththa Ancient Stone,Protection,2005 AD,"Declared archaeological.",6.8333,80.0833

676,227,Seethawaka Wet Zone Heritage,Ancient Settlement,1200 AD,"Human settlements existed historically.",6.9500,80.0833
677,227,Seethawaka Wet Zone Heritage,Royal Use,1500 AD,"Area part of Sitawaka Kingdom.",6.9500,80.0833
678,227,Seethawaka Wet Zone Heritage,Conservation,2000 AD,"Wet zone forest protected.",6.9500,80.0833

679,228,Ruwanwella Fort,Portuguese Origin,1590 AD,"Built to control Kelani Valley.",7.0500,80.3500
680,228,Ruwanwella Fort,Dutch Expansion,1665 AD,"Strengthened with new ramparts.",7.0500,80.3500
681,228,Ruwanwella Fort,British Transformation,1817 AD,"Turned into police barracks.",7.0500,80.3500

682,229,Batuwita Ancient Temple,Construction,900 AD,"Historic Buddhist temple.",6.8000,80.0333
683,229,Batuwita Ancient Temple,Royal Patronage,1200 AD,"Kings funded monastic activities.",6.8000,80.0333
684,229,Batuwita Ancient Temple,Modern Renovation,2000 AD,"Temple conserved.",6.8000,80.0333

685,230,Ingiriya Archaeology Park,Prehistoric Evidence,8000 BC,"Stone tools discovered.",6.7333,80.1167
686,230,Ingiriya Archaeology Park,Forest Monastery,700 AD,"Monk settlements found.",6.7333,80.1167
687,230,Ingiriya Archaeology Park,Declared Protected,2010 AD,"Park designated for archaeological study.",6.7333,80.1167

688,231,Gangodavila Ancient Bo Tree,Planting,300 AD,"Believed to be planted by monks.",6.8667,79.8833
689,231,Gangodavila Ancient Bo Tree,Local Worship,1500 AD,"Tree worshipped by villagers.",6.8667,79.8833
690,231,Gangodavila Ancient Bo Tree,Conservation,1999 AD,"Protected by forest department.",6.8667,79.8833

691,232,Kottawa Forest Heritage,Prehistoric Habitat,5000 BC,"Evidence of Stone Age humans.",6.8333,79.9667
692,232,Kottawa Forest Heritage,Monastic Use,900 AD,"Meditating monks lived here.",6.8333,79.9667
693,232,Kottawa Forest Heritage,Declared Reserve,1980 AD,"Forest declared protected.",6.8333,79.9667

694,233,Maharagama Arawwala Temple,Construction,600 AD,"Ancient Buddhist shrine complex.",6.8500,79.9167
695,233,Maharagama Arawwala Temple,Kandyan Style Renovation,1700 AD,"Shrine rebuilt in Kandyan style.",6.8500,79.9167
696,233,Maharagama Arawwala Temple,Declared Archaeological Site,1995 AD,"Temple protected.",6.8500,79.9167

697,234,Ratmalana Gal Subodarama,Construction,800 AD,"Ancient monastery site.",6.8333,79.8833
698,234,Ratmalana Gal Subodarama,Cave Murals,1200 AD,"Murals painted in medieval period.",6.8333,79.8833
699,234,Ratmalana Gal Subodarama,Conservation,2000 AD,"Renovation completed.",6.8333,79.8833

700,235,Ratmalana Ancient Well,Construction,500 AD,"Used by early settlers.",6.8333,79.8833

701,235,Ratmalana Ancient Well,Community Use,1200 AD,"Used as primary water source for villagers.",6.8333,79.8833
702,235,Ratmalana Ancient Well,Declared Protected,1990 AD,"Added to archaeology registry.",6.8333,79.8833
703,235,Ratmalana Ancient Well,Well Restoration,2005 AD,"Reinforced to prevent collapse.",6.8333,79.8833

704,236,Mt. Lavinia Archaeological Zone,Colonial Occupation,1800 AD,"British Governor’s residence built nearby.",6.8333,79.8667
705,236,Mt. Lavinia Archaeological Zone,Early Settlements,600 AD,"Ancient coastal settlements existed here.",6.8333,79.8667
706,236,Mt. Lavinia Archaeological Zone,Conservation Work,2010 AD,"Coastal archaeology protections added.",6.8333,79.8667

707,237,Boralasgamuwa Ancient Pond,Construction,700 AD,"Reservoir created to support agriculture.",6.8200,79.9100
708,237,Boralasgamuwa Ancient Pond,Chola Influence,1000 AD,"Dam expanded under South Indian rule.",6.8200,79.9100
709,237,Boralasgamuwa Ancient Pond,Restoration,1998 AD,"Pond rehabilitated.",6.8200,79.9100

710,238,Attidiya Historic Wetlands,Prehistoric Activity,8000 BC,"Evidence of human activity in wetlands.",6.8500,79.9000
711,238,Attidiya Historic Wetlands,Kingdom Period Use,1400 AD,"Wetlands used for reed and herbal collection.",6.8500,79.9000
712,238,Attidiya Historic Wetlands,Declared Sanctuary,1990 AD,"Wetlands protected.",6.8500,79.9000

713,239,Nugegoda Ancient Bo Tree,Planting,400 AD,"Monks planted sacred Bo sapling.",6.8650,79.8940
714,239,Nugegoda Ancient Bo Tree,Local Festivals,1600 AD,"Annual perahera traditions began.",6.8650,79.8940
715,239,Nugegoda Ancient Bo Tree,Heritage Listing,2001 AD,"Tree declared protected.",6.8650,79.8940

716,240,Piliyandala Ambalama,Construction,1700 AD,"Shelter for travelers built on old route.",6.8017,79.9225
717,240,Piliyandala Ambalama,Use in Kingdom Period,1800 AD,"Shelter for cart traders.",6.8017,79.9225
718,240,Piliyandala Ambalama,Renovation,2000 AD,"Ambalama restored.",6.8017,79.9225

719,241,Kesbewa Raja Maha Vihara,Construction,900 AD,"Historic temple built during medieval era.",6.7833,79.9000
720,241,Kesbewa Raja Maha Vihara,Buddhist Education Center,1500 AD,"Monastic school operated here.",6.7833,79.9000
721,241,Kesbewa Raja Maha Vihara,Protection Status,1996 AD,"Temple protected under archaeology ordinance.",6.7833,79.9000

722,242,Bokundara Ancient Stone,Carving Period,1100 AD,"Ancient rock with carved symbols.",6.8000,79.9000
723,242,Bokundara Ancient Stone,Rediscovery,1955 AD,"Discovered during road expansion.",6.8000,79.9000
